Path,Name,ExactName,Features,Options,Occupied,Virtual,HomoOrbital,Dipole,Energy,Excited,Time
,4ee_CPC_C_4ee,4eeA_CPC_C_4eeA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.870039726,-2.0316019189,146,1.6397,-6977.4546203,---,28.2666666667
,A_TON_666i_A,A_TON_6aa6aa6iiA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8425562283,-2.3959623487,177,0.0888,-2207.0399113,---,77.9833333333
,66f_CON_A_66f,6aa6ffA_CON_A_6aa6ffA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6806484943,-2.5192299176,137,2.025,-1856.4880794,---,8.6
,444c_CSP_A_444c,4aa4aa4ccA_CSP_A_4aa4aa4ccA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5168359635,-2.2732390075,242,1.9984,-13457.0902749,---,38.5833333333
,A_TSP_555c_A,A_TSP_5aa5aa5ccA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4708487248,-2.1692915212,248,0.002,-15381.6059739,---,73.2833333333
,A_TSP_555i_A,A_TSP_5aa5aa5iiA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.2014560246,-1.93527362,199,0.0118,-5254.4738551,---,25.45
,7_TON_A_7,7aaA_TON_A_7aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3747925397,-1.8781297139,127,0.0006,-1567.6835919,---,3.5333333333
,4ha_CPC_C_4ha,4haA_CPC_C_4haA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3522070911,-1.7709168615,130,2.9376,-6783.5893941,---,57.2
,TSP_2_n2,_TSP_A_2_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3742483121,-2.9864493785,127,0.3419,-3726.281084,---,42.05
,A_TON_666_A,A_TON_6aa6aa6aaA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7720787441,-2.579367076,161,0.0014,-2049.7677145,---,6.6
,F_TON_E_F,F_TON_E_F_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8499033019,-1.6843846608,61,0.0007,-869.9321675,---,1.65
,5f_CCC_A_5f,5ffA_CCC_A_5ffA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.5728730574,-0.9888616894,99,1.0302,-1867.7656851,---,6.7333333333
,A_CON_666h_A,A_CON_6aa6aa6hhA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.7266173762,-2.3257569784,177,5.6225,-2271.201133,---,52.85
,44g_CON_A_44g,4aa4ggA_CON_A_4aa4ggA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6588793872,-1.898266138,153,2.0656,-3084.1790958,---,39.6
,4b_TON_A_4b,4bbA_TON_A_4bbA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.1089556762,-2.3464376301,110,0.0016,-2867.6928705,---,10.3
,4hh4hh99_CNC_6ih6aa4aa4ih_4aa4ia4ia,4hh4hh99A_CNC_6ih6aa4aa4ihA_4aa4ia4iaA_n1_m1_x1_y1_z1,,opt b3lyp/6-31g(d) geom=connectivity,-4.5004907764,-1.5845188821,429,12.7878,-5801.2978439,---,574.966666667
,4_TON_A_4,4aaA_TON_A_4aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6975195523,-1.8081964574,81,0.0018,-1029.3328942,---,3.2833333333
,C_TON_B_C,C_TON_B_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.7446136032,-2.0454797246,88,0.0008,-6628.5672877,---,1.8333333333
,5555h_TON_A_5555h,5aa5aa5aa5hhA_TON_A_5aa5aa5aa5hhA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.7794074609,-2.2160951014,225,5.1933,-5203.1313631,---,40.0833333333
,A_CON_555d_A,A_CON_5aa5aa5ddA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4368344949,-3.0920295478,191,1.9293,-4247.0422057,---,9.2
,TON_3_n2,_TON_A_3_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.141337223,-2.7099817185,93,2.0178,-1285.4945389,---,12.5
,A_TSP_5555b_A,A_TSP_5aa5aa5aa5bbA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3168322921,-2.1521483494,254,0.0022,-8039.1917032,---,60.25
,A_CON_555b_A,A_CON_5aa5aa5bbA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0104321099,-2.5829045559,196,1.7406,-5716.4422075,---,11.55
,A_TSP_44g_A,A_TSP_4aa4ggA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5358839322,-1.8511904439,169,0.0044,-4303.2861204,---,50.5833333333
,5555i_TON_A_5555i,5aa5aa5aa5iiA_TON_A_5aa5aa5aa5iiA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.9682544649,-2.2803139673,225,0.0128,-5138.9957336,---,27.5
,9_CSP_9_n2,9_CSP_A_9_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.5704240329,-2.2800418535,257,4.1759,-6690.0365921,---,15.7833333333
,A_TON_6_A,A_TON_6aaA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9897698149,-2.1883394899,81,0.0009,-1061.3810476,---,4.45
,A_CON_444a_A,A_CON_4aa4aa4aaA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3913914839,-1.813910848,161,2.3008,-1953.5404877,---,51.6166666667
,5_TON_9_5,5aaA_TON_9A_5aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0098878822,-1.9257496357,155,0.0048,-3230.1361235,---,113.383333333
,C_CPC_4be_C,C_CPC_4beA_C_n1_m1_x1_y1_z1,,---,-2.8882162827,-2.1589511953,148,3.852,---,---,30.1666666667
,66g_CON_A_66g,6aa6ggA_CON_A_6aa6ggA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8245967149,-2.5701152054,153,2.0402,-3148.3329025,---,36.2833333333
,A_TON_44h_A,A_TON_4aa4hhA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.6504255014,-1.6955413282,137,5.0929,-1712.8286329,---,16.4
,A_CSP_666g_A,A_CSP_6aa6aa6ggA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6531649966,-2.3110628311,209,0.4048,-4861.6359019,---,46.55
,4fb_CPC_C_4fb,4fbA_CPC_C_4fbA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7198328871,-1.9377226446,144,1.8768,-7742.5047631,---,12.9
